model,image_number,image_filename,ssim,psnr
FLUX,1,image_001.png,0.906876357713277,23.962706725126935
FLUX,2,image_002.png,0.8464336592437353,24.281972139153662
FLUX,3,image_003.png,0.8244486057401402,24.136208308497377
FLUX,4,image_004.png,0.8085647095100453,24.18727258939487
FLUX,5,image_005.png,0.7704433669155535,20.027364233911594
FLUX,6,image_006.png,0.729291207774172,18.198449590744627
FLUX,7,image_007.png,0.713233974442822,18.21669660803677
FLUX,8,image_008.png,0.6981853961146377,18.12201457238345
FLUX,9,image_009.png,0.6807678117757205,17.902824371989
FLUX,10,image_010.png,0.6658919526869123,17.85262638449684
FLUX,11,image_011.png,0.6506053955333916,17.747536226460767
FLUX,12,image_012.png,0.6331467907176345,17.366838848280956
FLUX,13,image_013.png,0.6163485778274382,17.0048439970239
FLUX,14,image_014.png,0.6038492707797445,16.927619198466115
FLUX,15,image_015.png,0.5897065661059064,16.790505601301223
FLUX,16,image_016.png,0.5755021138209814,16.61435981428352
FLUX,17,image_017.png,0.561536541529495,16.452052325233332
FLUX,18,image_018.png,0.5472039225156904,16.29497543078017
FLUX,19,image_019.png,0.5350674356957448,16.21395654226693
FLUX,20,image_020.png,0.5208978890106265,16.02276128982982
FLUX,21,image_021.png,0.5101401143637694,15.966559417842879
FLUX,22,image_022.png,0.49777993849763247,15.734976959132371
FLUX,23,image_023.png,0.48596700098076234,15.571758498690308
FLUX,24,image_024.png,0.47491647397704945,15.465765352629223
FLUX,25,image_025.png,0.4622262683830064,15.305245903190501
FLUX,26,image_026.png,0.45092436642453443,15.149930982701104
FLUX,27,image_027.png,0.44497384178652494,15.075804132751703
FLUX,28,image_028.png,0.433218892591154,14.922896969019677
FLUX,29,image_029.png,0.41824644235636926,14.674477150572313
FLUX,30,image_030.png,0.4081742222366595,14.59534786655257
FLUX,31,image_031.png,0.396559044417402,14.38563200686454
FLUX,32,image_032.png,0.3885243855924531,14.336740879983921
FLUX,33,image_033.png,0.38360765498631944,14.391576929977333
FLUX,34,image_034.png,0.3772253318899791,14.343762550192151
FLUX,35,image_035.png,0.36684286338268784,14.007833017077171
FLUX,36,image_036.png,0.35748448314549547,13.901077877439597
FLUX,37,image_037.png,0.3489909937617496,13.806649410066779
FLUX,38,image_038.png,0.3416927659346574,13.735347232680189
FLUX,39,image_039.png,0.33303882654038397,13.620686010658806
FLUX,40,image_040.png,0.32495404549809437,13.515810878101803
FLUX,41,image_041.png,0.31681498248654955,13.41494031080007
FLUX,42,image_042.png,0.3093802013577172,13.323262975039729
FLUX,43,image_043.png,0.30242796920460563,13.27807261974094
FLUX,44,image_044.png,0.2959018752257869,13.181616219336188
FLUX,45,image_045.png,0.29002456419199696,13.118038982811907
FLUX,46,image_046.png,0.2816778500190891,13.017573152242509
FLUX,47,image_047.png,0.27442450923608247,12.955503044316108
FLUX,48,image_048.png,0.2677532703718364,12.83848799150835
FLUX,49,image_049.png,0.25985865168202726,12.694011641364922
FLUX,50,image_050.png,0.25842448462340634,12.655906600900677
FLUX,51,image_051.png,0.24843434745292473,12.374261033578708
FLUX,52,image_052.png,0.23933278421404694,12.186597984231804
FLUX,53,image_053.png,0.23218790445740173,12.057232044771272
FLUX,54,image_054.png,0.22586534380053583,11.96690345864175
FLUX,55,image_055.png,0.22036213591662804,11.891753665538847
FLUX,56,image_056.png,0.21428959994264427,11.795886767800353
FLUX,57,image_057.png,0.20923700168208229,11.728074461681192
FLUX,58,image_058.png,0.20318832526629382,11.62814817039697
FLUX,59,image_059.png,0.20229679974937353,11.900085780630201
FLUX,60,image_060.png,0.19525062520903735,11.742191443890608
FLUX,61,image_061.png,0.21013501901050477,11.99068385905231
FLUX,62,image_062.png,0.19171690091140317,11.502471988832122
FLUX,63,image_063.png,0.18337609473409736,11.36380525566743
FLUX,64,image_064.png,0.17638110521523684,11.22403739387709
FLUX,65,image_065.png,0.17068824679063385,11.150551221426358
FLUX,66,image_066.png,0.16557819892269815,11.066797362319889
FLUX,67,image_067.png,0.16041562218657418,10.953946293895774
FLUX,68,image_068.png,0.15531903015677584,10.868484161817175
FLUX,69,image_069.png,0.1501779433152456,10.777903938810091
FLUX,70,image_070.png,0.14480214618163312,10.671278824081538
FLUX,71,image_071.png,0.13989093996915017,10.56374689198341
FLUX,72,image_072.png,0.13544411815220192,10.48447987296932
FLUX,73,image_073.png,0.13148819267555167,10.414474802861001
FLUX,74,image_074.png,0.12851229981526563,10.342293410327368
FLUX,75,image_075.png,0.12545254152390614,10.305206711713131
FLUX,76,image_076.png,0.1209390261950614,10.21853518372537
FLUX,77,image_077.png,0.11703849316263089,10.155573047120663
FLUX,78,image_078.png,0.11311702356528303,10.083992686130214
FLUX,79,image_079.png,0.10962011127019769,10.012337930999966
FLUX,80,image_080.png,0.1066896824354626,9.962832581767898
FLUX,81,image_081.png,0.10470537980295996,9.961107264899105
FLUX,82,image_082.png,0.10218235745054494,9.933466789274203
FLUX,83,image_083.png,0.09906043459887742,9.849480853139372
FLUX,84,image_084.png,0.09621977504975615,9.796773521990438
FLUX,85,image_085.png,0.09365369140037556,9.737334573807763
FLUX,86,image_086.png,0.09208280187509106,9.712362275342993
FLUX,87,image_087.png,0.08913363676132716,9.64706609716082
FLUX,88,image_088.png,0.09128910912982156,9.777335080027322
FLUX,89,image_089.png,0.08663719799930869,9.64848587112942
FLUX,90,image_090.png,0.0857145309865225,9.637658170281838
FLUX,91,image_091.png,0.08276391424512958,9.559149775922863
FLUX,92,image_092.png,0.0802699966189038,9.50187340156502
FLUX,93,image_093.png,0.07858385133691549,9.467028377741295
FLUX,94,image_094.png,0.07650368916683502,9.422912660639168
FLUX,95,image_095.png,0.07476319780282945,9.371856194648627
FLUX,96,image_096.png,0.07294663972630563,9.327480821140151
FLUX,97,image_097.png,0.07118172530531464,9.282314282899153
FLUX,98,image_098.png,0.0700358577056639,9.358401373311828
FLUX,99,image_099.png,0.06742704497862438,9.26036276282565
FLUX,100,image_100.png,0.06570537443220409,9.203617515578788
GPT,1,image_001.png,0.4440194654943076,19.439970353420538
GPT,2,image_002.png,0.40577078142934697,18.983368208320254
GPT,3,image_003.png,0.046160706005457755,13.00811539253619
GPT,4,image_004.png,0.0019045006508740649,7.95383529051735
GPT,5,image_005.png,0.0014779630703068076,7.570783052197356
GPT,6,image_006.png,0.0014730933717983364,7.512719820004135
GPT,7,image_007.png,0.001484354625071149,7.497817535768717
GPT,8,image_008.png,0.001482193717416456,7.490594476898838
GPT,9,image_009.png,0.0014568273527110918,7.485656468918672
GPT,10,image_010.png,0.11984330514322437,14.949618590669742
GPT,11,image_011.png,0.07624384283096414,13.133957043110787
GPT,12,image_012.png,0.019925416874637288,9.030847543607534
GPT,13,image_013.png,0.014919278210209415,8.19826162967847
GPT,14,image_014.png,0.014143338010385307,8.01502713979439
GPT,15,image_015.png,0.01394418027032221,7.969102580445256
GPT,16,image_016.png,0.013889806051756524,7.9519630933900505
GPT,17,image_017.png,0.013874805520257195,7.941480633375503
GPT,18,image_018.png,0.013745234911048577,7.93045490398241
GPT,19,image_019.png,0.013695557582927892,7.920685618354377
GPT,20,image_020.png,0.013675770146869673,7.9155216369935
GPT,21,image_021.png,0.013630938761728753,7.914313509349579
GPT,22,image_022.png,0.01361994621373683,7.911051675425363
GPT,23,image_023.png,0.013634295532848957,7.908397315794247
GPT,24,image_024.png,0.013633856426171253,7.907108337064367
GPT,25,image_025.png,0.013689552461163518,7.9061225640476085
GPT,26,image_026.png,0.013655547478055478,7.903200839478418
GPT,27,image_027.png,0.01366034047191168,7.902095806458199
GPT,28,image_028.png,0.008186839434013096,9.328692947965369
GPT,29,image_029.png,0.0033798931565195457,7.2296357668547255
GPT,30,image_030.png,0.0033499075463440256,7.078674185732043
GPT,31,image_031.png,0.0034461951947389094,7.0457310324831575
GPT,32,image_032.png,0.003469671316607867,7.034405445027979
GPT,33,image_033.png,0.0034503123033717198,7.028132328890805
GPT,34,image_034.png,0.0034823265456089604,7.024521759304498
GPT,35,image_035.png,0.00351334264824217,7.022612305858851
GPT,36,image_036.png,0.0035303648508753396,7.021102340349591
GPT,37,image_037.png,0.0035272222420001265,7.018478507247194
GPT,38,image_038.png,0.0035122243307472373,7.018673553698674
GPT,39,image_039.png,0.0035064091962897317,7.0180216821820585
GPT,40,image_040.png,0.003502587247987067,7.017306755472141
GPT,41,image_041.png,0.0035054474892926824,7.01709670063026
GPT,42,image_042.png,0.003499605571060952,7.016358290199394
GPT,43,image_043.png,0.003500287737932504,7.016147436822311
GPT,44,image_044.png,0.014018025110548853,10.024192078094504
GPT,45,image_045.png,0.005981349910591088,7.38428827824367
GPT,46,image_046.png,0.005712950149483121,7.229330597529464
GPT,47,image_047.png,0.005703859354913917,7.192410773251474
GPT,48,image_048.png,0.005741107454397266,7.180071320653214
GPT,49,image_049.png,0.005748362926720801,7.173549305097295
GPT,50,image_050.png,0.005738384713004504,7.168866776845758
GPT,51,image_051.png,0.00573761393071581,7.1655855405216995
GPT,52,image_052.png,0.005735471136912749,7.163859321962108
GPT,53,image_053.png,0.005736470308690586,7.162641458467048
GPT,54,image_054.png,0.009543247724066162,8.742069670520321
GPT,55,image_055.png,0.0057044181264286195,7.261790878728625
GPT,56,image_056.png,0.0053902415902084356,7.058459392979247
GPT,57,image_057.png,0.005339843747404615,7.022023142492325
GPT,58,image_058.png,0.005302144956050072,7.0097368682609655
GPT,59,image_059.png,0.005317834697528746,7.004522462287861
GPT,60,image_060.png,0.005355405212631062,7.001757520414276
GPT,61,image_061.png,0.005359845747272486,6.999974116909219
GPT,62,image_062.png,0.005391837773904816,6.998684570219622
GPT,63,image_063.png,0.005411908984916969,6.998081498387746
GPT,64,image_064.png,0.005417329231960077,6.997202222398152
GPT,65,image_065.png,0.005411556960227347,6.996410553338732
GPT,66,image_066.png,0.005414220568351594,6.996307766770778
GPT,67,image_067.png,0.00542549698140041,6.995716833068693
GPT,68,image_068.png,0.005429577616886741,6.995092179170563
GPT,69,image_069.png,0.005432710059269725,6.9949714658606705
GPT,70,image_070.png,0.0054366813741118574,6.9943960654332
